protocol, transport, type, dst_port, src_ip, src_port, timestamp
smbd, tcp, accept, 445, 62.74.213.178, 3207, 2022-05-07T15:11:19.553526,
smbd, tcp, accept, 445, 62.74.213.178, 3236, 2022-05-07T15:11:20.303295,
smbd, tcp, accept, 445, 62.74.213.178, 3260, 2022-05-07T15:11:20.888347,
smbd, tcp, accept, 445, 62.74.213.178, 3290, 2022-05-07T15:11:21.633030,
smbd, tcp, accept, 445, 62.74.213.178, 1997, 2022-05-07T15:10:46.070309,
smbd, tcp, accept, 445, 62.74.213.178, 2132, 2022-05-07T15:10:49.533259,
smbd, tcp, accept, 445, 62.74.213.178, 2248, 2022-05-07T15:10:52.504343,
smbd, tcp, accept, 445, 62.74.213.178, 2415, 2022-05-07T15:10:56.823579,
smbd, tcp, accept, 445, 62.74.213.178, 2535, 2022-05-07T15:11:00.416220,
smbd, tcp, accept, 445, 62.74.213.178, 2655, 2022-05-07T15:11:03.607093,
smbd, tcp, accept, 445, 62.74.213.178, 2770, 2022-05-07T15:11:07.093050,
smbd, tcp, accept, 445, 62.74.213.178, 3039, 2022-05-07T15:11:14.851928,
smbd, tcp, accept, 445, 62.74.213.178, 3321, 2022-05-07T15:11:22.257989,
smbd, tcp, accept, 445, 62.74.213.178, 3355, 2022-05-07T15:11:23.019243,
smbd, tcp, accept, 445, 62.74.213.178, 3375, 2022-05-07T15:11:23.619416,
smbd, tcp, accept, 445, 62.74.213.178, 3423, 2022-05-07T15:11:24.988213,
smbd, tcp, accept, 445, 62.74.213.178, 3446, 2022-05-07T15:11:25.629643,
smbd, tcp, accept, 445, 62.74.213.178, 2900, 2022-05-07T15:11:10.821794,
smbd, tcp, accept, 445, 62.74.213.178, 3180, 2022-05-07T15:11:18.901017,
smbd, tcp, accept, 445, 62.74.213.178, 3398, 2022-05-07T15:11:24.299458,
smbd, tcp, accept, 445, 62.74.213.178, 3488, 2022-05-07T15:11:26.998563,
smbd, tcp, accept, 445, 62.74.213.178, 3511, 2022-05-07T15:11:27.665593,
smbd, tcp, accept, 445, 62.74.213.178, 3535, 2022-05-07T15:11:28.275893,
smbd, tcp, accept, 445, 62.74.213.178, 3556, 2022-05-07T15:11:29.004109,
smbd, tcp, accept, 445, 62.74.213.178, 3609, 2022-05-07T15:11:30.367518,
smbd, tcp, accept, 445, 62.74.213.178, 3652, 2022-05-07T15:11:31.122452,
smbd, tcp, accept, 445, 62.74.213.178, 3682, 2022-05-07T15:11:31.871760,
smbd, tcp, accept, 445, 62.74.213.178, 3708, 2022-05-07T15:11:32.531085,
smbd, tcp, accept, 445, 62.74.213.178, 3728, 2022-05-07T15:11:33.299457,
smbd, tcp, accept, 445, 62.74.213.178, 3780, 2022-05-07T15:11:34.767931,
smbd, tcp, accept, 445, 62.74.213.178, 3796, 2022-05-07T15:11:35.542056,
smbd, tcp, accept, 445, 62.74.213.178, 3827, 2022-05-07T15:11:36.296613,
smbd, tcp, accept, 445, 62.74.213.178, 3855, 2022-05-07T15:11:37.142089,
smbd, tcp, accept, 445, 62.74.213.178, 3875, 2022-05-07T15:11:37.764336,
smbd, tcp, accept, 445, 62.74.213.178, 3914, 2022-05-07T15:11:39.126713,
